				Patch for Purists - Book Typo Fixes
				By Half11

Version: 4.0.2


Note: Khajiti|Khajiiti|Khajiit| typo fixes are controversial, so we kept those out.


Version 4.0.0 Update
--------------------------------------
Book:ID=bk_BrownBook426:Name=Brown Book of 3E 426: |Mouth Mallam Ryon, Mage| ==> |Mouth Mallam Ryon|
Book:ID=BookSkill_Acrobatics5:Name=Mystery of Talara, Part 1: |tale end| ==> |tail end|
Book:ID=BookSkill_Acrobatics5:Name=Mystery of Talara, Part 1: |it way| ==> |its way|
Book:ID=BookSkill_Acrobatics5:Name=Mystery of Talara, Part 1: |caused.<BR>| ==> |caused.<BR><BR>|
Book:ID=BookSkill_Acrobatics5:Name=Mystery of Talara, Part 1: |ago.”<BR>| ==> |ago.”<BR><BR>|
Book:ID=BookSkill_Restoration5:Name=Mystery of Talara, Part 2: |was long| ==> |was a long|
Book:ID=BookSkill_Restoration5:Name=Mystery of Talara, Part 2: |a ways| ==> |a way|
Book:ID=BookSkill_Restoration5:Name=Mystery of Talara, Part 2: |Lets| ==> |Let's|
Book:ID=bookskill_illusion5:Name=Mystery of Talara, Part 4: |learned her| ==> |learned from her|
Book:ID=bookskill_illusion5:Name=Mystery of Talara, Part 4: |Emperor the late king your brother| ==> |Emperor that the late king, your brother,|
Book:ID=bookskill_mystery5:Name=Mystery of Talara, Part 5: |supercedes| ==> |supersedes|
Book:ID=bookskill_mystery5:Name=Mystery of Talara, Part 5: |Princess's| ==> |Princess'| [two instances]
Book:ID=bookskill_blunt weapon3:Name=Night Falls On Sentinel: |being question| ==> |being questioned|
Book:ID=bookskill_blunt weapon3:Name=Night Falls On Sentinel: |surprise.  Even| ==> |surprise,  even|
Book:ID=bookskill_blunt weapon3:Name=Night Falls On Sentinel: |a that| ==> |o' that|
Book:ID=bk_Nerano:Name=Note from Bakarak: |organisation| ==> |organization|
Book:ID=bk_notefrombildren:Name=Note From Bildren: [name itself] |From| ==> |from|
Book:ID=bk_notefromernil:Name=Note From Ernil: [name itself] |From| ==> |from|
Book:ID=bk_NoteFromJ'Zhirr:Name=Note from J'zhirr: [name itself] |J'zhirr| ==> |J'Zhirr|
Book:ID=bk_notefromradras:Name=Note From Radras: [name itself] |From| ==> |from|
Book:ID=bk_saryoni_note:Name=note from the Archcanon: [name itself] |note| ==> |Note|
Book:ID=bk_saryoni_note:Name=note from the Archcanon: |written| ==> |Written|
Book:ID=bk_saryoni_note:Name=note from the Archcanon: |archcanon| ==> |Archcanon|
Book:ID=bk_saryoni_note:Name=note from the Archcanon: |archcanon's| ==> |Archcanon's|
Book:ID=bk_saryoni_note:Name=note from the Archcanon: |Heirographa| ==> |Hierographa|
Book:ID=bk_NoteToAmaya:Name=Note to Amaya: |your| ==> |Your|
Book:ID=bk_Dren_Hlevala_note:Name=Note to Hlevala: |Gah-Julan| ==> |Gah Julan|
Book:ID=bk_Dren_Hlevala_note:Name=Note to Hlevala: |Tulz| ==> |Tul|
Book:ID=bk_notetoinorra:Name=Note to Inorra: |Elyneaox| ==> |Elynea|
Book:ID=bk_notetocalderamages:Name=Note to Mages: |Keseena| ==> |Kiseena|
Book:ID=bk_notebyaryon:Name=Notes by Aryon: |NGasta| ==> |N'Gasta|
Book:ID=bk_A1_7_HuleeyaInformant:Name=Notes from Huleeya: |and the Nerevarine Cult<BR>| ==> |and the Nerevarine Cult<BR><BR>|
Book:ID=bk_A1_7_HuleeyaInformant:Name=Notes from Huleeya: |Nerevarines| ==> |Nerevarine| [three instances]
Book:ID=bookskill_restoration2:Name=Notes on Racial Phylogeny: |only their| ==> |only in their|
Book:ID=bookskill_restoration2:Name=Notes on Racial Phylogeny: |but their| ==> |but in their|
Book:ID=bookskill_restoration2:Name=Notes on Racial Phylogeny: |troglophile| ==> |limnophilic| [means 'swamp-loving.' The best information that could be found indicates Argonians live in trees, huts and caves, not exclusively caves.]
Book:ID=bk_notetocalderaguard:Name=NoteToCalderaGuard: [name itself] |NoteToCalderaGuard| ==> |Note to Caldera Guards|
Book:ID=bk_BriefHistoryEmpire1_oh:Name=Odral's History of the Empire 1: |Summurset| ==> |Summerset| [two instances]
Book:ID=bk_BriefHistoryEmpire1_oh:Name=Odral's History of the Empire 1: |defence| ==> |defense|
Book:ID=bk_BriefHistoryEmpire2_oh:Name=Odral's History of the Empire 2: |Summurset| ==> |Summerset|
Book:ID=bk_BriefHistoryEmpire2_oh:Name=Odral's History of the Empire 2: |behaviour| ==> |behavior|
Book:ID=bk_BriefHistoryEmpire2_oh:Name=Odral's History of the Empire 2: |travelled| ==> |traveled|
Book:ID=bk_BriefHistoryEmpire2_oh:Name=Odral's History of the Empire 2: |Potema.  The| ==> |Potema, the|
Book:ID=bk_BriefHistoryEmpire2_oh:Name=Odral's History of the Empire 2: |unlikely-for| ==> |unlikely -- for|
Book:ID=bk_BriefHistoryEmpire2_oh:Name=Odral's History of the Empire 2: |that previous| ==> |that the previous|
Book:ID=bk_BriefHistoryEmpire2_oh:Name=Odral's History of the Empire 2: |conspiracy minded| ==> |conspiracy-minded|
Book:ID=bk_BriefHistoryEmpire3_oh:Name=Odral's History of the Empire 3: |swivelled| ==> |swiveled|
Book:ID=bk_BriefHistoryEmpire3_oh:Name=Odral's History of the Empire 3: |.  <BR>| ==> |.<BR><BR>| [five instances]
Book:ID=bk_BriefHistoryEmpire3_oh:Name=Odral's History of the Empire 3: |.<BR>| ==> |.<BR><BR>| [two instances]
Book:ID=bk_BriefHistoryEmpire4_oh:Name=Odral's History of the Empire 4: |well-practised| ==> |well-practiced|
Book:ID=bk_BriefHistoryEmpire4_oh:Name=Odral's History of the Empire 4: |endeavours-but| ==> |endeavors -- but|
Book:ID=bk_BriefHistoryEmpire4_oh:Name=Odral's History of the Empire 4: |Emperors-the| ==> |Emperors -- the|
Book:ID=bk_OnMorrowind:Name=On Morrowind: |Sumerset| ==> |Summerset|
Book:ID=bk_orderfrommollismo:Name=Order From Mollismo: [name itself] |Mollismo| ==> |Mollimo|
Book:ID=bk_orderfrommollismo:Name=Order From Mollismo: |Mollismo| ==> |Mollimo|
Book:ID=bk_eggorders:Name=Order Manifest: |kwaama| ==> |kwama|
Book:ID=bk_ordolegionis:Name=Ordo Legionis: |Recruit| ==> |Recruits|
Book:ID=bk_OriginOfTheMagesGuild:Name=Origin of the Mages Guild: |Summurset| ==> |Summerset| [three instances]
Book:ID=bk_OriginOfTheMagesGuild:Name=Origin of the Mages Guild: |counsellors| ==> |counselors|
Book:ID=bk_OriginOfTheMagesGuild:Name=Origin of the Mages Guild: |Tamrielan| ==> |Tamrielic|
Book:ID=bk_OverviewOfGodsAndWorship:Name=Overview of Gods and Worship: |gods| ==> |Gods| [three instances]
Book:ID=bk_OverviewOfGodsAndWorship:Name=Overview of Gods and Worship: |This my| ==> |This is my|
Book:ID=bk_OverviewOfGodsAndWorship:Name=Overview of Gods and Worship: |of daily| ==> |in daily|
Book:ID=bk_ILHermit_Page:Name=Page from History of the Empire: |unkown| ==> |unknown|
Book:ID=bookskill_illusion4:Name=Palla, Book I: |Tendixus's| ==> |Tendixus'|
Book:ID=bookskill_illusion4:Name=Palla, Book I: |poured| ==> |pored|
Book:ID=bookskill_illusion4:Name=Palla, Book I: |Cyrodilic| ==> |Cyrodiilic|
Book:ID=bookskill_illusion4:Name=Palla, Book I: |be young| ==> |be a young|
Book:ID=bookskill_enchant3:Name=Palla, Book II: |Summurset| ==> |Summerset|
Book:ID=bookskill_enchant3:Name=Palla, Book II: |great grandfather| ==> |great-grandfather|
Book:ID=bookskill_enchant3:Name=Palla, Book II: |great grandfather's| ==> |great-grandfather's|
Book:ID=bk_vivecs_plan:Name=Plan to Defeat Dagoth Ur: |Nerevaine| ==> |Nerevarine|
Book:ID=bk_vivecs_plan:Name=Plan to Defeat Dagoth Ur: |simultaneous with| ==> |simultaneously with|
Book:ID=bk_vivecs_plan:Name=Plan to Defeat Dagoth Ur: |mortal Kagrenac| ==> |mortal Dagoth Ur|
Book:ID=bk_vivecs_plan:Name=Plan to Defeat Dagoth Ur: |wish rise| ==> |wish to rise|
Book:ID=bk_poisonsong1:Name=Poison Song I: |absolutely| ==> |absolute|
Book:ID=bk_poisonsong1:Name=Poison Song I: |bewildering| ==> |bewilderingly|
Book:ID=bk_poisonsong1:Name=Poison Song I: | late-ly| ==> | lately|
Book:ID=bk_poisonsong4:Name=Poison Song IV: |and head| ==> |and head.|
Book:ID=bk_poisonsong4:Name=Poison Song IV: |What you| ==> |What have you|
Book:ID=bk_poisonsong5:Name=Poison Song V: |Grafisi| ==> |Gafrisi|
Book:ID=bk_poisonsong5:Name=Poison Song V: |Baynara| ==> |Baynarah|
Book:ID=bk_poisonsong6:Name=Poison Song VI: |guars| ==> |guar|
Book:ID=bk_poisonsong6:Name=Poison Song VI: |Baynara| ==> |Baynarah|
Book:ID=bk_poisonsong6:Name=Poison Song VI: |said Baynarah<BR>| ==> |said Baynarah.<BR>|
Book:ID=bk_poisonsong7:Name=Poison Song VII: |Baynara| ==> |Baynarah|
Book:ID=bk_poisonsong7:Name=Poison Song VII: |who slaved| ==> |who enslaved|
Book:ID=bk_V_hlaaluprison:Name=Prisoner Checklist: |an noble| ==> |a noble|
Book:ID=bk_progressoftruth:Name=Progress of Truth: |sorceror| ==> |sorcerer|
Book:ID=bk_progressoftruth:Name=Progress of Truth: |Heirographa| ==> |Hierographa|
Book:ID=bk_provinces_of_tamriel:Name=Provinces of Tamriel: |northeastmost| ==> |northeasternmost|
Book:ID=bk_provinces_of_tamriel:Name=Provinces of Tamriel: |Vvardenfel| ==> |Vvardenfell|
Book:ID=bk_provinces_of_tamriel:Name=Provinces of Tamriel: |traditions. <BR>| ==> |traditions. <BR><BR>|
Book:ID=bk_NerevarineNotice:Name=Public notice: |Vvardenfel| ==> |Vvardenfell|
Book:ID=bookskill_acrobatics1:Name=Realizations of Acrobacy: |similiarly| ==> |similarly|
Book:ID=bk_redbook426:Name=Red Book of 3E 426: |Vardenfell| ==> |Vvardenfell|
Book:ID=bk_redbook426:Name=Red Book of 3E 426: |were not| ==> |was not|
Book:ID=bk_redbook426:Name=Red Book of 3E 426: |Lord Ald'ruhn of| ==> |Lord of Ald'ruhn, of|
Book:ID=bk_redorancookingsecrets:Name=Redoran Cooking Secrets: |hot over| ==> |hot oven|
Book:ID=bk_redorancookingsecrets:Name=Redoran Cooking Secrets: |eggs| ==> |egg|
Book:ID=bk_reflectionsoncultworship...:Name=Reflections on Cult Worship: |<DIV ALIGN="LEFT"><BR><BR>| ==> <DIV ALIGN="LEFT">| [last line of the book was an "orphan" on its own page; a typesetter would eliminate this]
Book:ID=bk_reflectionsoncultworship...:Name=Reflections on Cult Worship: |welcomed.<BR>| ==> |welcomed.<BR><BR>|
Book:ID=chargen statssheet:Name=Release Identification: |%PCName| ==> |%PCName<BR>|
Book:ID=chargen statssheet:Name=Release Identification: |%PCRace| ==> |%PCRace<BR>|
Book:ID=chargen statssheet:Name=Release Identification: |Signed,| ==> |Signed,<BR>|
Book:ID=chargen statssheet:Name=Release Identification: |Ergalla| ==> |Ergalla<BR>|
Book:ID=chargen statssheet:Name=Release Identification: |Excise.| ==> |Excise.<BR>|
Book:ID=bk_shalitjournal_deal:Name=Rels Tenim Journal Page: |Mulvrulea| ==> |Muvrulea|
Book:ID=bk_shalitjournal_deal:Name=Rels Tenim Journal Page: |galleries| ==> |galleries,|
Book:ID=bookskill_destruction2:Name=Response to Bero's Speech: |heresay| ==> |hearsay|
Book:ID=bookskill_destruction2:Name=Response to Bero's Speech: |megalomaniac| ==> |megalomaniacal|
Book:ID=bookskill_destruction2:Name=Response to Bero's Speech: |spell matters| ==> |spell matter|
Book:ID=bookskill_destruction2:Name=Response to Bero's Speech: |Destruction, is| ==> |Destruction is|
Book:ID=text_paper_roll_01:Name=Rolled Paper: [name itself] |Paper| ==> |paper|
Book:ID=bk_SaryonisSermons:Name=Saryoni's Sermons: |Humilty| ==> |Humility|
Book:ID=bk_saryonisermonsmanuscript:Name=Saryoni's Sermons Manuscript: |Humilty| ==> |Humility|
Book:ID=sc_FiercelyRoastThyEnemy_unique:Name=Scroll of Fiercely Roasting: |SERVENTS| ==> |SERVANTS|
Book:ID=sc_Tyronius:Name=Scroll of Tyronius: [name itself] |Scroll of Tyronius| ==> |Tyronius' Scroll| ["Scroll of..." is used for spell scrolls]
Book:ID=sc_vaerminaspromise:Name=Scroll of Vaermina's Promise: [name itself] |Vaermina's| ==> |Vaernima's|
Book:ID=bk_seniliasreport:Name=Senilius' Report: [name itself] |Senilius'| ==> |Senilias'|
Book:ID=bk_seniliasreport:Name=Senilius' Report: |lack results| ==> |lack of results|
Book:ID=bk_seniliasreport:Name=Senilius' Report: |Senilius| ==> |Senilias|
Book:ID=bookskill_illusion2:Name=Silence: |Darothil| ==> |Darothril| [five instances]
Book:ID=bookskill_illusion2:Name=Silence: |Calissah| ==> |Calissiah|
Book:ID=bookskill_illusion2:Name=Silence: |award| ==> |reward|
Book:ID=bookskill_spear1:Name=Smuggler's Island: |was were| ==> |was where|
Book:ID=bookskill_spear1:Name=Smuggler's Island: |fechers| ==> |fetchers|
Book:ID=bookskill_security5:Name=Surfeit of Thieves: |that that there| ==> |that they|
Book:ID=bookskill_security5:Name=Surfeit of Thieves: |St Eadnua| ==> |St. Eadnua|
Book:ID=bookskill_security5:Name=Surfeit of Thieves: |in time| ==> |to time|
Book:ID=bk_TalMarogKersResearches:Name=Tal Marog Ker's Researches: |traffickings| ==> |trafficking|
Book:ID=bk_TalMarogKersResearches:Name=Tal Marog Ker's Researches: |hurled in| ==> |hurled it|
Book:ID=bk_TalMarogKersResearches:Name=Tal Marog Ker's Researches: |Saviour's| ==> |Savior's|
Book:ID=bk_Yagrum's_Bookl:Name=Tamrielic Lore: |It is she| ==> |It is he|
Book:ID=bk_Yagrum's_Bookl:Name=Tamrielic Lore: |Ring of the Khajiit| ==> |Ring of Khajiit|
Book:ID=bk_Yagrum's_Bookl:Name=Tamrielic Lore: |Mehrunes Razor| ==> |Mehrunes' Razor|
Book:ID=bk_Yagrum's_Bookl:Name=Tamrielic Lore: |Mehrune's Razor| ==> |Mehrunes' Razor|
Book:ID=bk_Yagrum's_Bookl:Name=Tamrielic Lore: |lhas| ==> |has|
Book:ID=bk_Yagrum's_Bookl:Name=Tamrielic Lore: |it's weilder| ==> |its wielder|
Book:ID=bk_Yagrum's_Bookl:Name=Tamrielic Lore: |wearers| ==> |wearer's|
Book:ID=bk_Yagrum's_Bookl:Name=Tamrielic Lore: |Eidelon| ==> |Eleidon|
Book:ID=bk_Yagrum's_Bookl:Name=Tamrielic Lore: |sought after| ==> |sought-after|
Book:ID=bk_Yagrum's_Bookl:Name=Tamrielic Lore: |to be resist| ==> |to resist|
Book:ID=bk_Yagrum's_Bookl:Name=Tamrielic Lore: |<BR>Daedric| ==> |<BR><BR>Daedric|
Book:ID=bk_Aedra_Tarer_Unique:Name=Tarer's Aedra and Daedra: |Cyrodilic| ==> |Cyrodiilic|
Book:ID=bk_seydaneentaxrecord:Name=Tax Record: |Grivayne| ==> |Girvayne| [note that first name "Terurise" will be corrected by correcting the NPC name, as the cell name is spelled this way]
Book:ID=bk_AlchemistsFormulary:Name=The Alchemists Formulary: [name itself] |Alchemists| ==> |Alchemist's|
Book:ID=bk_ArcturianHeresy:Name=The Arcturian Heresy: |Imperil| ==> |Imperial|
Book:ID=bk_ArcturianHeresy:Name=The Arcturian Heresy: |it's potential| ==> |its potential|
Book:ID=bk_ArcturianHeresy:Name=The Arcturian Heresy: |flailings| ==> |flailing|
Book:ID=bk_vivec_no_murder:Name=The Battle of Red Mountain: |Nerever| ==> |Nerevar|
Book:ID=bk_vivec_no_murder:Name=The Battle of Red Mountain: |distant past.| ==> |distant past?|
Book:ID=BookSkill_Acrobatics4:Name=The Black Arrow, Volume 1: [name] |1| ==> |I|
Book:ID=bk_BlueBookOfRiddles:Name=The Blue Book of Riddles: |St| ==> |St.|
Book:ID=bk_BookOfDaedra:Name=The Book of Daedra: |mortals souls| ==> |mortals' souls|
Book:ID=bk_BookDawnAndDusk:Name=The Book of Dawn and Dusk: |<DIV ALIGN="LEFT"><BR><BR>| ==> <DIV ALIGN="LEFT">| [last line of the book was an "orphan" on its own page; a typesetter would eliminate this]
Book:ID=bk_BrothersOfDarkness:Name=The Brothers of Darkness: |Alimahera's| ==> |Arlimahera's|
Book:ID=bk_BrothersOfDarkness:Name=The Brothers of Darkness: |coven-occasionally| ==> |coven -- occasionally|
Book:ID=bk_BrothersOfDarkness:Name=The Brothers of Darkness: |opportunities-an| ==> |opportunities -- an|
Book:ID=bookskill_mercantile1:Name=The Buying Game: |Summurset| ==> |Summerset|
Book:ID=bookskill_mercantile1:Name=The Buying Game: |all, you| ==> |all; you|
Book:ID=bk_ConsolationsOfPrayer:Name=The Consolations of Prayer: |Felm's| ==> |Felms'|
Book:ID=bk_ConsolationsOfPrayer:Name=The Consolations of Prayer: |Meris's| ==> |Meris'|
Book:ID=bk_ConsolationsOfPrayer:Name=The Consolations of Prayer: |Olm's| ==> |Olms'|
Book:ID=bk_ConsolationsOfPrayer:Name=The Consolations of Prayer: |Rilm's| ==> |Rilms'|
Book:ID=bk_ConsolationsOfPrayer:Name=The Consolations of Prayer: |Roris's| ==> |Roris'|
Book:ID=BookSkill_Security3:Name=The Dowry: |fashion that| ==> |fashion than|
Book:ID=bookskill_enchant5:Name=The Final Lesson: |Cyrodilic| ==> |Cyrodiilic|
Book:ID=bookskill_enchant5:Name=The Final Lesson: |become respected| ==> |become a respected|
Book:ID=bk_firmament:Name=The Firmament: |Heartfire| ==> |Hearthfire|
Book:ID=bk_firmament:Name=The Firmament: |<BR><BR><BR><BR>The Apprentice| ==> |<BR><BR>The Apprentice|
Book:ID=bk_firmament:Name=The Firmament: |<BR><BR><BR>The Ritual| ==> |<BR><BR>The Ritual|
Book:ID=bk_firmament:Name=The Firmament: |season| ==> |Season| [five instances]
Book:ID=bookskill_mysticism1:Name=The Firsthold Revolt: |Summurset| ==> |Summerset|
Book:ID=bookskill_mysticism1:Name=The Firsthold Revolt: |siegers| ==> |besiegers|
Book:ID=bookskill_mysticism1:Name=The Firsthold Revolt: |if as| ==> |if, as|
Book:ID=bookskill_mysticism1:Name=The Firsthold Revolt: |that a| ==> |than a|
Book:ID=bookskill_mysticism1:Name=The Firsthold Revolt: |was he| ==> |what he|
Book:ID=bookskill_restoration3:Name=The Four Suitors of Benitah: |picketpocketed| ==> |pickpocketed|
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |Cyrodilic| ==> |Cyrodiilic| [two instances]
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |don't know no| ==> |know no| [corrected in the Tribunal bk_playscript edition]
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |garb stands| ==> |garb, stands| [see above]
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |No thank| ==> |No, thank| [see above]
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |master Sedura| ==> |master, Sedura| [see above]
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |Xyr is| ==> |Xyr, is| [see above]
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |coulda been| ==> |would be| [see above]
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |We got| ==> |We have| [see above]
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |fades I'm| ==> |fades, I'm| [see above]
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |fortitude to| ==> |fortitude against| [see above]
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |ever day| ==> |every day|
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |ashlander| ==> |Ashlander| [three instances; two were corrected in the Tribunal bk_playscript edition]
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |been round| ==> |been 'round|
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |crystalized| ==> |crystallized|
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |expotentially| ==> |exponentially|
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |similiar| ==> |similar|
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |ANANA/IACHILLA| ==> |ANARA/IACHILLA| [two instances]
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |Anana/Iachilla| ==> |Anara/Iachilla|
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |torchs| ==> |torches|
Book:ID=bookskill_destruction1:Name=The Horror of Castle Xyr: |mage| ==> |mage.|
Book:ID=bk_madnessofpelagius:Name=The Madness of Pelagius: |king's| ==> |king|
Book:ID=bk_madnessofpelagius:Name=The Madness of Pelagius: |Suns| ==> |Sun's| [two instances]
Book:ID=bookskill_marksman4:Name=The Marksmanship Lesson: |Indoriil| ==> |Indoril|
Book:ID=bookskill_marksman4:Name=The Marksmanship Lesson: |ill suited| ==> |ill-suited|
Book:ID=bookskill_marksman4:Name=The Marksmanship Lesson: |bow.<BR>Brin| ==> |bow.<BR><BR>Brin|
Book:ID=bk_manyfacesmissinggod:Name=The Monomyth: |Cyrodilic| ==> |Cyrodiilic| [two instances]
Book:ID=bk_manyfacesmissinggod:Name=The Monomyth: |Rupgta| ==> |Ruptga|
Book:ID=bk_manyfacesmissinggod:Name=The Monomyth: |Psijiic| ==> |Psijic|
Book:ID=bk_manyfacesmissinggod:Name=The Monomyth: |Psijiici| ==> |Psijics|
Book:ID=bk_oldways:Name=The Old Ways: |counsellors| ==> |counselors| [two instances]
Book:ID=bk_oldways:Name=The Old Ways: |counselled| ==> |counseled|
Book:ID=bk_PigChildren:Name=The Pig Children: |Era.  <BR><BR>| ==> |Era.| [trailing newlines]
Book:ID=bk_PigChildren:Name=The Pig Children: |<DIV ALIGN="LEFT"><BR><BR>| ==> <DIV ALIGN="LEFT">| [last line of the book was an "orphan" on its own page; a typesetter would eliminate this]
Book:ID=bk_PilgrimsPath:Name=The Pilgrim's Path: |<DIV ALIGN="LEFT"><BR><BR>| ==> <DIV ALIGN="LEFT">| [see above]
Book:ID=bk_PostingOfTheHunt:Name=The Posting of the Hunt: |describe explains| ==> |describe|
Book:ID=BookSkill_Athletics1:Name=The Ransom of Zarek: |Cyrodilic| ==> |Cyrodiilic|
Book:ID=BookSkill_Athletics1:Name=The Ransom of Zarek: |by carriage| ==> |my carriage|
Book:ID=BookSkill_Athletics1:Name=The Ransom of Zarek: |him time| ==> |him less time|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |Sym­machus| ==> |Symmachus|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |neighbor­ing| ==> |neighboring|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |aston­ishment| ==> |astonishment|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |occa­sions| ==> |occasions|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |dis­guised| ==> |disguised|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |protec­tion| ==> |protection|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |par­ticular| ==> |particular|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |sol­diers| ==> |soldiers|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |threat­ened| ==> |threatened|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |never­theless| ==> |nevertheless|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |alot| ==> |a lot|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |Silgrod| ==> |Silgrad| [two instances]
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |Mournhold-a| ==> |Mournhold -- a|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |attend-and| ==> |attend -- and|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |oath-that| ==> |oath -- that|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |presentable-or| ==> |presentable -- or|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |eyes-before| ==> |eyes -- before|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |reasoned-correctly| ==> |reasoned -- correctly|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |out-that| ==> |out -- that|
Book:ID=bk_RealBarenziah1:Name=The Real Barenziah v I: |realized-but| ==> |realized -- but|
Book:ID=bk_realbarenziah3:Name=The Real Barenziah v III: |Mourn­hold| ==> |Mournhold|
Book:ID=bk_realbarenziah3:Name=The Real Barenziah v III: |Sym­machus| ==> |Symmachus|
Book:ID=bk_realbarenziah3:Name=The Real Barenziah v III: |gen­eral| ==> |general|
Book:ID=bk_realbarenziah3:Name=The Real Barenziah v III: |pre­ference| ==> |preference|
Book:ID=bk_realbarenziah3:Name=The Real Barenziah v III: |contrib­uting| ==> |contributing|
Book:ID=bk_realbarenziah3:Name=The Real Barenziah v III: |emp­tiness| ==> |emptiness|
Book:ID=bk_realbarenziah3:Name=The Real Barenziah v III: |are like| ==> |are likely|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |vis­its| ==> |visits|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |forgot­ten| ==> |forgotten|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |hand­some| ==> |handsome|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |any­thing| ==> |anything|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |for­gotten| ==> |forgotten|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |mar­riage| ==> |marriage|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |weath­ered| ==> |weathered|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |pro­duced| ==> |produced|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |free­dom| ==> |freedom|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |con­versation| ==> |conversation|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |cham-ber| ==> |chamber|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |con­trols| ==> |controls|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |pretence| ==> |pretense|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |aban­doned| ==> |abandoned|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |admantium| ==> |adamantium|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |mas­sive| ==> |massive|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |hold­ing| ==> |holding|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: | exis­tence| ==> | existence|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |suf­fered| ==> |suffered|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |tele­port| ==> |teleport|
Book:ID=bk_realbarenziah4:Name=The Real Barenziah v IV: |would I| ==> |I would|
Book:ID=bk_RealBarenziah5:Name=The Real Barenziah v V: |pretence| ==> |pretense| [two instances]
Book:ID=bk_RealBarenziah5:Name=The Real Barenziah v V: |carven| ==> |carved|
Book:ID=bk_RealBarenziah5:Name=The Real Barenziah v V: |parlour| ==> |parlor|
Book:ID=bk_RealBarenziah5:Name=The Real Barenziah v V: |Summurset| ==> |Summerset|
Book:ID=bk_RealBarenziah5:Name=The Real Barenziah v V: |pensively.  <BR>Barenziah| ==> |pensively. <BR><BR>Barenziah|
Book:ID=bk_RealBarenziah5:Name=The Real Barenziah v V: |suddenly he| ==> |suddenly it|
